Jour :Tuesday Heure :12h Minutes :0min Salle :220 Etage 1
Jour :Tuesday Heure :15h Minutes :0min Salle :120 Etage 0
Jour :Tuesday Heure :15h Minutes :30min Salle :319 Etage 2
Jour :Tuesday Heure :16h Minutes :30min Salle :120 Etage 0
Jour :Tuesday Heure :17h Minutes :15min Salle :319 Etage 2
Jour :Tuesday Heure :18h Minutes :0min Salle :319 Etage 2
Jour :Tuesday Heure :18h Minutes :15min Salle :120 Etage 0
Jour :Wednesday Heure :8h Minutes :0min Salle :120 Etage 0
Jour :Wednesday Heure :8h Minutes :0min Salle :319 Etage 2
Jour :Wednesday Heure :8h Minutes :30min Salle :319 Etage 2
Jour :Wednesday Heure :8h Minutes :45min Salle :120 Etage 0
Jour :Wednesday Heure :12h Minutes :15min Salle :319 Etage 2
Jour :Wednesday Heure :12h Minutes :30min Salle :120 Etage 0
Jour :Wednesday Heure :13h Minutes :15min Salle :120 Etage 0
Jour :Wednesday Heure :13h Minutes :15min Salle :319 Etage 2
Jour :Wednesday Heure :14h Minutes :15min Salle :319 Etage 2
Jour :Wednesday Heure :15h Minutes :15min Salle :120 Etage 0
Jour :Wednesday Heure :16h Minutes :0min Salle :319 Etage 2
Jour :Wednesday Heure :17h Minutes :0min Salle :120 Etage 0
Jour :Wednesday Heure :17h Minutes :30min Salle :319 Etage 2
Jour :Wednesday Heure :18h Minutes :15min Salle :120 Etage 0
Jour :Thursday Heure :8h Minutes :0min Salle :319 Etage 2
Jour :Thursday Heure :8h Minutes :45min Salle :120 Etage 0
Jour :Thursday Heure :12h Minutes :0min Salle :319 Etage 2
Jour :Thursday Heure :12h Minutes :15min Salle :119 Etage 0
Jour :Thursday Heure :12h Minutes :30min Salle :119 Etage 0
Jour :Thursday Heure :13h Minutes :0min Salle :220 Etage 1
Jour :Thursday Heure :13h Minutes :15min Salle :220 Etage 1
Jour :Thursday Heure :14h Minutes :0min Salle :119 Etage 0
Jour :Thursday Heure :14h Minutes :0min Salle :120 Etage 0
Jour :Thursday Heure :14h Minutes :30min Salle :319 Etage 2
Jour :Thursday Heure :15h Minutes :30min Salle :120 Etage 0
Jour :Thursday Heure :16h Minutes :15min Salle :319 Etage 2
Jour :Thursday Heure :17h Minutes :15min Salle :120 Etage 0
Jour :Thursday Heure :18h Minutes :0min Salle :319 Etage 2
Jour :Friday Heure :8h Minutes :0min Salle :120 Etage 0
Jour :Friday Heure :8h Minutes :30min Salle :319 Etage 2
Jour :Friday Heure :12h Minutes :15min Salle :319 Etage 2
Jour :Friday Heure :12h Minutes :30min Salle :120 Etage 0
Jour :Friday Heure :13h Minutes :15min Salle :120 Etage 0
Jour :Friday Heure :13h Minutes :15min Salle :319 Etage 2
Jour :Friday Heure :14h Minutes :15min Salle :120 Etage 0
Jour :Friday Heure :15h Minutes :0min Salle :319 Etage 2
